"","Order","Family","Genus_Species_Accepted","Genus_Accepted","PMkr2.LCVP.moldat.PvAb.Ap24","NEW_Fruit_fleshy_or_dry_rev_checked_Anna","Fruit_color","ID","Binary_Color"
"364","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136550,"non-conspicuous"
"365","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136551,"non-conspicuous"
"366","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136552,"non-conspicuous"
"368","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136554,"non-conspicuous"
"370","Apiales","Araliaceae","Schefflera_morototoni","Schefflera",1,"fleshy","black",136556,"non-conspicuous"
"371","Apiales","Araliaceae","Trevesia_burckii","Trevesia",1,"fleshy","yellow",153158,"conspicuous "
"373","Apiales","Araliaceae","Trevesia_valida","Trevesia",1,"fleshy","green",153164,"non-conspicuous"
"383","Apiales","Pittosporaceae","Auranticarpa_rhombifolia","Auranticarpa",1,"dry","orange",116221,"conspicuous "
"400","Apiales","Pittosporaceae","Pittosporum_arborescens","Pittosporum",1,"dry","orange",116120,"conspicuous "
"403","Apiales","Pittosporaceae","Pittosporum_brackenridgei","Pittosporum",1,"dry","orange",116128,"conspicuous "
"405","Apiales","Pittosporaceae","Pittosporum_hosmeri","Pittosporum",1,"dry","orange",116163,"conspicuous "
"408","Apiales","Pittosporaceae","Pittosporum_moluccanum","Pittosporum",1,"dry","orange",116181,"conspicuous "
"418","Apiales","Pittosporaceae","Pittosporum_undulatum","Pittosporum",1,"dry","yellow/orange/brownish",116245,"uncertain "
"427","Apiales","Pittosporaceae","Pittosporum_viridiflorum","Pittosporum",1,"dry","orange",116280,"conspicuous "
"428","Apiales","Pittosporaceae","Pittosporum_yunckeri","Pittosporum",1,"dry","orange",116261,"conspicuous "
"430","Apiales","Torricelliaceae","Aralidium_pinnatifidum","Aralidium",1,"fleshy","black;green;red",11295,"uncertain "
"432","Apiales","Torricelliaceae","Aralidium_pinnatifidum","Aralidium",1,"fleshy","white, ripening to purplish or black",11297,"conspicuous "
"433","Aquifoliales","Aquifoliaceae","Ilex_aquifolium","Ilex",1,"fleshy","Red",76778,"conspicuous "
"434","Aquifoliales","Aquifoliaceae","Ilex_aquifolium","Ilex",1,"fleshy","Red",76779,"conspicuous "
"466","Aquifoliales","Aquifoliaceae","Ilex_arnhemensis","Ilex",1,"fleshy","white",76788,"non-conspicuous"
"467","Aquifoliales","Aquifoliaceae","Ilex_arnhemensis","Ilex",1,"fleshy","white",76789,"non-conspicuous"
"480","Aquifoliales","Aquifoliaceae","Ilex_dumosa","Ilex",1,"fleshy","red",76855,"conspicuous "
"499","Aquifoliales","Aquifoliaceae","Ilex_microdonta","Ilex",1,"fleshy","red",76936,"conspicuous "
"506","Aquifoliales","Aquifoliaceae","Ilex_mitis","Ilex",1,"fleshy","red",76940,"conspicuous "
"538","Aquifoliales","Aquifoliaceae","Ilex_paraguariensis","Ilex",1,"fleshy","red",76962,"conspicuous "
"557","Aquifoliales","Cardiopteridaceae","Citronella_moorei","Citronella",1,"fleshy","black",33135,"non-conspicuous"
"563","Aquifoliales","Cardiopteridaceae","Citronella_smythii","Citronella",1,"fleshy","black",33147,"non-conspicuous"
"578","Aquifoliales","Stemonuraceae","Medusanthera_laxiflora","Medusanthera",1,"fleshy","green",93636,"non-conspicuous"
"581","Arecales","Arecaceae","Acanthophoenix_rubra","Acanthophoenix",1,"fleshy","black",2062,"non-conspicuous"
"582","Arecales","Arecaceae","Acoelorrhaphe_wrightii","Acoelorrhaphe",1,"fleshy","black",2604,"non-conspicuous"
"585","Arecales","Arecaceae","Acoelorrhaphe_wrightii","Acoelorrhaphe",1,"fleshy","brown; black",2607,"non-conspicuous"
"607","Arecales","Arecaceae","Acrocomia_aculeata","Acrocomia",1,"fleshy","green",2776,"non-conspicuous"
"610","Arecales","Arecaceae","Acrocomia_crispa","Acrocomia",1,"fleshy","yellow; orange",2777,"conspicuous "
"614","Arecales","Arecaceae","Actinokentia_divaricata","Actinokentia",1,"fleshy","red; purple",3113,"uncertain "
"617","Arecales","Arecaceae","Actinorhytis_calapparia","Actinorhytis",1,"fleshy","red",3118,"conspicuous "
"621","Arecales","Arecaceae","Adonidia_merrillii","Adonidia",1,"fleshy","red",3540,"conspicuous "
"625","Arecales","Arecaceae","Aiphanes_erinacea","Aiphanes",1,"fleshy","red; brown; black",5029,"uncertain "
"627","Arecales","Arecaceae","Aiphanes_grandis","Aiphanes",1,"fleshy","green",5032,"non-conspicuous"
"629","Arecales","Arecaceae","Aiphanes_hirsuta","Aiphanes",1,"fleshy","red; purple; white",5033,"uncertain "
"633","Arecales","Arecaceae","Aiphanes_horrida","Aiphanes",1,"fleshy","red",5034,"conspicuous "
"635","Arecales","Arecaceae","Aiphanes_minima","Aiphanes",1,"fleshy","red",5039,"conspicuous "
"637","Arecales","Arecaceae","Aiphanes_ulei","Aiphanes",1,"fleshy","red",5047,"conspicuous "
"647","Arecales","Arecaceae","Allagoptera_arenaria","Allagoptera",1,"fleshy","green",5917,"non-conspicuous"
"650","Arecales","Arecaceae","Allagoptera_brevicalyx","Allagoptera",1,"fleshy","green",5920,"non-conspicuous"
"655","Arecales","Arecaceae","Allagoptera_leucocalyx","Allagoptera",1,"fleshy","green",5923,"non-conspicuous"
"657","Arecales","Arecaceae","Ammandra_decasperma","Ammandra",1,"fleshy","brown",7968,"non-conspicuous"
"660","Arecales","Arecaceae","Aphandra_natalia","Aphandra",1,"fleshy","brown",10809,"non-conspicuous"
"665","Arecales","Arecaceae","Archontophoenix_alexandrae","Archontophoenix",1,"fleshy","red",11521,"conspicuous "
"675","Arecales","Arecaceae","Archontophoenix_cunninghamiana","Archontophoenix",1,"fleshy","red",11528,"conspicuous "
"678","Arecales","Arecaceae","Archontophoenix_maxima","Archontophoenix",1,"fleshy","red",11531,"conspicuous "
"680","Arecales","Arecaceae","Archontophoenix_myolensis","Archontophoenix",1,"fleshy","red",11533,"conspicuous "
"683","Arecales","Arecaceae","Archontophoenix_purpurea","Archontophoenix",1,"fleshy","red",11535,"conspicuous "
"685","Arecales","Arecaceae","Archontophoenix_tuckeri","Archontophoenix",1,"fleshy","red",11537,"conspicuous "
"691","Arecales","Arecaceae","Areca_catechu","Areca",1,"fleshy","yellow; orange; red",11901,"conspicuous "
"693","Arecales","Arecaceae","Areca_concinna","Areca",1,"fleshy","red; green; orange; red",11905,"uncertain "
"694","Arecales","Arecaceae","Areca_rheophytica","Areca",1,"fleshy","pink; red",11928,"conspicuous "
"697","Arecales","Arecaceae","Areca_triandra","Areca",1,"fleshy","red; orange",11933,"conspicuous "
"700","Arecales","Arecaceae","Areca_vestiaria","Areca",1,"fleshy","orange; red",11937,"conspicuous "
"702","Arecales","Arecaceae","Arenga_australasica","Arenga",1,"fleshy","red",11983,"conspicuous "
"703","Arecales","Arecaceae","Arenga_brevipes","Arenga",1,"fleshy","green; black",11984,"non-conspicuous"
"706","Arecales","Arecaceae","Arenga_caudata","Arenga",1,"fleshy","red",11974,"conspicuous "
"707","Arecales","Arecaceae","Arenga_caudata","Arenga",1,"fleshy","red; orange",11985,"conspicuous "
"708","Arecales","Arecaceae","Arenga_distincta","Arenga",1,"fleshy","green; brown",11986,"non-conspicuous"
"710","Arecales","Arecaceae","Arenga_engleri","Arenga",1,"fleshy","orange",11988,"conspicuous "
"712","Arecales","Arecaceae","Arenga_hastata","Arenga",1,"fleshy","purple; brown",11989,"non-conspicuous"
"714","Arecales","Arecaceae","Arenga_hookeriana","Arenga",1,"fleshy","orange; red",11990,"conspicuous "
"716","Arecales","Arecaceae","Arenga_listeri","Arenga",1,"fleshy","white; pink; red",11991,"uncertain "
"717","Arecales","Arecaceae","Arenga_microcarpa","Arenga",1,"fleshy","white; red",11995,"uncertain "
"718","Arecales","Arecaceae","Arenga_obtusifolia","Arenga",1,"fleshy","green",11997,"non-conspicuous"
"719","Arecales","Arecaceae","Arenga_pinnata","Arenga",1,"fleshy","green",11970,"non-conspicuous"
"723","Arecales","Arecaceae","Arenga_pinnata","Arenga",1,"fleshy","green; yellow; orange",11999,"uncertain "
"724","Arecales","Arecaceae","Arenga_porphyrocarpa","Arenga",1,"fleshy","purple; orange",12001,"uncertain "
"725","Arecales","Arecaceae","Arenga_ryukyuensis","Arenga",1,"fleshy","orange",12003,"conspicuous "
"726","Arecales","Arecaceae","Arenga_tremula","Arenga",1,"fleshy","red",12005,"conspicuous "
"728","Arecales","Arecaceae","Arenga_undulatifolia","Arenga",1,"fleshy","green",12006,"non-conspicuous"
"729","Arecales","Arecaceae","Arenga_westerhoutii","Arenga",1,"fleshy","black",12007,"non-conspicuous"
"732","Arecales","Arecaceae","Arenga_wightii","Arenga",1,"fleshy","black",12008,"non-conspicuous"
"734","Arecales","Arecaceae","Asterogyne_guianensis","Asterogyne",1,"fleshy","red",14355,"conspicuous "
"736","Arecales","Arecaceae","Asterogyne_martiana","Asterogyne",1,"fleshy","black",14356,"non-conspicuous"
"739","Arecales","Arecaceae","Astrocaryum_acaule","Astrocaryum",1,"fleshy","yellow",14774,"conspicuous "
"754","Arecales","Arecaceae","Astrocaryum_aculeatissimum","Astrocaryum",1,"fleshy","brown",14781,"non-conspicuous"
"768","Arecales","Arecaceae","Astrocaryum_aculeatum","Astrocaryum",1,"fleshy","orange",14782,"conspicuous "
"771","Arecales","Arecaceae","Astrocaryum_alatum","Astrocaryum",1,"fleshy","green",14783,"non-conspicuous"
"773","Arecales","Arecaceae","Astrocaryum_campestre","Astrocaryum",1,"fleshy","green",14785,"non-conspicuous"
"775","Arecales","Arecaceae","Astrocaryum_chambira","Astrocaryum",1,"fleshy","yellow; orange",14787,"conspicuous "
"777","Arecales","Arecaceae","Astrocaryum_faranae","Astrocaryum",1,"fleshy","orange",14794,"conspicuous "
"778","Arecales","Arecaceae","Astrocaryum_farinosum","Astrocaryum",1,"fleshy","brown",14795,"non-conspicuous"
"780","Arecales","Arecaceae","Astrocaryum_gratum","Astrocaryum",1,"fleshy","orange; yellow",14798,"conspicuous "
"782","Arecales","Arecaceae","Astrocaryum_huaimi","Astrocaryum",1,"fleshy","orange",14799,"conspicuous "
"783","Arecales","Arecaceae","Astrocaryum_huicungo","Astrocaryum",1,"fleshy","yellow; orange",14800,"conspicuous "
"785","Arecales","Arecaceae","Astrocaryum_jauari","Astrocaryum",1,"fleshy","yellow; orange",14801,"conspicuous "
"786","Arecales","Arecaceae","Astrocaryum_javarense","Astrocaryum",1,"fleshy","brown",14802,"non-conspicuous"
"803","Arecales","Arecaceae","Astrocaryum_murumuru","Astrocaryum",1,"fleshy","yellow; brown",14810,"uncertain "
"807","Arecales","Arecaceae","Astrocaryum_paramacum","Astrocaryum",1,"fleshy","brown",14812,"non-conspicuous"
"809","Arecales","Arecaceae","Astrocaryum_rodriguesii","Astrocaryum",1,"fleshy","orange",14814,"conspicuous "
"815","Arecales","Arecaceae","Astrocaryum_sciophilum","Astrocaryum",1,"fleshy","brown",14816,"non-conspicuous"
"816","Arecales","Arecaceae","Astrocaryum_sociale","Astrocaryum",1,"fleshy","orange",14818,"conspicuous "
"825","Arecales","Arecaceae","Astrocaryum_standleyanum","Astrocaryum",1,"fleshy","orange",14820,"conspicuous "
"826","Arecales","Arecaceae","Astrocaryum_ulei","Astrocaryum",1,"fleshy","brown",14823,"non-conspicuous"
"835","Arecales","Arecaceae","Astrocaryum_vulgare","Astrocaryum",1,"fleshy","yellow; orange",14825,"conspicuous "
"837","Arecales","Arecaceae","Attalea_allenii","Attalea",1,"fleshy","brown",15352,"non-conspicuous"
"838","Arecales","Arecaceae","Attalea_amygdalina","Attalea",1,"fleshy","brown",15353,"non-conspicuous"
"840","Arecales","Arecaceae","Attalea_brasiliensis","Attalea",1,"fleshy","brown",15361,"non-conspicuous"
"848","Arecales","Arecaceae","Attalea_butyracea","Attalea",1,"fleshy","orange; yellow; brown",15365,"uncertain "
"853","Arecales","Arecaceae","Attalea_cohune","Attalea",1,"fleshy","brown",15368,"non-conspicuous"
"856","Arecales","Arecaceae","Attalea_crassispatha","Attalea",1,"fleshy","red",15371,"conspicuous "
"859","Arecales","Arecaceae","Attalea_funifera","Attalea",1,"fleshy","brown",15383,"non-conspicuous"
"860","Arecales","Arecaceae","Attalea_moorei","Attalea",1,"fleshy","brown",15404,"non-conspicuous"
"867","Arecales","Arecaceae","Attalea_oleifera","Attalea",1,"fleshy","brown",15407,"non-conspicuous"
"881","Arecales","Arecaceae","Attalea_phalerata","Attalea",1,"fleshy","green; brown",15412,"non-conspicuous"
"884","Arecales","Arecaceae","Attalea_rostrata","Attalea",1,"fleshy","brown",15419,"non-conspicuous"
"894","Arecales","Arecaceae","Attalea_speciosa","Attalea",1,"fleshy","brown",15425,"non-conspicuous"
"901","Arecales","Arecaceae","Attalea_tessmannii","Attalea",1,"fleshy","brown",15428,"non-conspicuous"
"910","Arecales","Arecaceae","Bactris_acanthocarpa","Bactris",1,"fleshy","orange; red",16133,"conspicuous "
"913","Arecales","Arecaceae","Bactris_balanophora","Bactris",1,"fleshy","orange",16140,"conspicuous "
"915","Arecales","Arecaceae","Bactris_barronis","Bactris",1,"fleshy","orange; red",16141,"conspicuous "
"918","Arecales","Arecaceae","Bactris_bifida","Bactris",1,"fleshy","purple; black",16144,"non-conspicuous"
"920","Arecales","Arecaceae","Bactris_brongniartii","Bactris",1,"fleshy","purple; black",16145,"non-conspicuous"
