Order,Family,Genus_Species_Accepted,Genus_Accepted,PMkr2.LCVP.moldat.PvAb.Ap24,NEW_Fruit_fleshy_or_dry_rev_checked_Anna,Fruit_color,ID
Apiales,Araliaceae,Polyscias_ariadnes,Polyscias,1,fleshy,purple,118592
Apiales,Araliaceae,Polyscias_ariadnes,Polyscias,1,NA,green,118593
Apiales,Araliaceae,Polyscias_aubrevillei,Polyscias,1,fleshy,purple,118594
Apiales,Araliaceae,Polyscias_baehniana,Polyscias,1,fleshy,purple,118597
Apiales,Araliaceae,Polyscias_baretiana,Polyscias,1,fleshy,purple,118598
Apiales,Araliaceae,Polyscias_bellendenkeriensis,Polyscias,1,fleshy,black,118530
Apiales,Araliaceae,Polyscias_bellendenkeriensis,Polyscias,1,NA,black,118600
Apiales,Araliaceae,Polyscias_boivinii,Polyscias,1,fleshy,purple,118602
Apiales,Araliaceae,Polyscias_briquetiana,Polyscias,1,fleshy,purple,118603
Apiales,Araliaceae,Polyscias_carolorum,Polyscias,1,fleshy,purple,118604
Apiales,Araliaceae,Polyscias_chapelieri,Polyscias,1,fleshy,purple,118605
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,fleshy,NA,118534
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,NA,118535
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,fleshy,NA,118536
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,NA,118537
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,fleshy,purple,118538
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,NA,118539
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,NA,118540
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,NA,118611
Apiales,Araliaceae,Polyscias_elegans,Polyscias,1,NA,black,118612
Apiales,Araliaceae,Polyscias_floccosa,Polyscias,1,fleshy,purple,118614
Apiales,Araliaceae,Polyscias_fraxinifolia,Polyscias,1,fleshy,purple,118615
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118543
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118544
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118545
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118546
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,fleshy,NA,118547
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,NA,118617
Apiales,Araliaceae,Polyscias_fulva,Polyscias,1,NA,blue,118618
